Artist	Title	Price	Slug
Reuben LeGrande Johnston (American, 1850 - 1915)	Sheep in the Barn	$1,800	reuben_legrande_johnston_sheep-html
Reuben LeGrande Johnston (American, 1850 - 1915)	Sheep and Chickens	$2,500	reuben_legrande_johnston_sheep_chickens-html
Henry Walcott Boss (American 1827 - 1916)	Farm Boy Crossing Creek		henry_walcott_boss_creek-html
Michael Strieby Nachtrieb (American 1835 - 1916)	Ohio	$3,000	michael_strieby_nachtrieb_ohio-html
Carducius Plantagenet Ream (1837 - 1917)	Still-life with Fruit and Decanter		carducius_plantagenet_ream_fruit-html
David John Gue (American, 1836 - 1917)	Shoreline Breakers	$5,500	david_john_gue_breakers-html
David John Gue (American, 1836 - 1917)	Breakers at Dawn		david_john_gue_dawn-html
David John Gue (American, 1836 - 1917)	Stormy Shoreline		david_john_gue_shoreline-html
David John Gue (American, 1836 - 1917)	A Shoreline Before the Storm		david_john_gue_storm-html
David John Gue (American, 1836 - 1917)	Coastal Waves		david_john_gue_waves-html
Lewis Henry Meakin (American 1850 - 1917)	Cape Ann Shore	$14,000	lewis_henry_meakin_cape_ann-html
William Baptiste Baird (American 1847 - 1917)	On the Marne at Champigny		william_baptiste_baird_champigny-html
William McCord (American 1857 - 1918)	Landscape	$2,500	william_mccord_landscape-html
Charles Grant Beauregard (American, 1856 - 1919)	Horse in Landscape	$4,500	charles_grant_beauregard_horse-html
Charles Grant Beauregard (American, 1856 - 1919)	Bucolic Landscape with Sheep	$3,900	charles_grant_beauregard_sheep-html
Edmund Clarence Messer (American 1842 - 1919)	Path Home		edmund_clarence_messer_path-html
Edmund Clarence Messer (American 1842 - 1919)	Sunset		edmund_clarence_messer_sunset-html
Edmund Elisha Case (American 1844 - 1919)	Fall Beeches	$4,200	edmund_elisha_case_beeches-html
Walter M. Brackett (American, 1823 - 1919)	Trout on a Bank	$10,500	walter_m_brackett_trout-html
John Ross Key (American, 1837 - 1920)	Boating on the Potomac	$4,500	john_ross_key_boating-html
John Ross Key (American, 1837 - 1920)	Trans-Mississippi and International Exposition 1898 - On the Plaza		john_ross_key_exposition-html
John Ross Key (American, 1837 - 1920)	Blackwater Falls		john_ross_key_falls-html
John Ross Key (American, 1837 - 1920)	Hollyhocks		john_ross_key_hollyhocks-html
John Ross Key (American, 1837 - 1920)	Washington, D.C. Across the Potomac	$4,500	john_ross_key_potomac-html
John Ross Key (American, 1837 - 1920)	Lake Tahoe		john_ross_key_vista-html
